id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1121474959359053824,1121474959359053824,1556215440000,2019-04-25,13:04:00,CDT,788898706586275840,tdatascience,Towards Data Science,,"Simple Linear Regression Formula, Visualized | Ch.1, Linear Regression.  https://buff.ly/2ux1asC  🎞by @JazonJiao #DataScience #TDSPick ✨ pic.twitter.com/DrvohRyTrS",['jazonjiao'],['https://buff.ly/2ux1asC'],"['https://pbs.twimg.com/media/D5BHiEoXoAELIGA.jpg', 'https://pbs.twimg.com/media/D5BHiEbWsAEWuLL.jpg']",0,3,8,,"['#datascience', '#tdspick']",https://twitter.com/TDataScience/status/1121474959359053824,,,0
1121401479062011904,1121401479062011904,1556197921000,2019-04-25,08:12:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Deep Zip: an open zipper detector https://buff.ly/2ZvwCFQ ,,['https://buff.ly/2ZvwCFQ'],[],0,0,1,,[],https://twitter.com/TDataScience/status/1121401479062011904,,,0
1121401475111038976,1121401475111038976,1556197920000,2019-04-25,08:12:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Artificial and Human Intelligence by @AlainChabrier https://buff.ly/2vjxRdv ,['alainchabrier'],['https://buff.ly/2vjxRdv'],[],0,3,2,,[],https://twitter.com/TDataScience/status/1121401475111038976,,,0
1121376057213489152,1121376057213489152,1556191860000,2019-04-25,06:31:00,CDT,788898706586275840,tdatascience,Towards Data Science,,AdaNet — Adaptive Structural Learning of Artificial Neural Networks by @ZakJost https://buff.ly/2ITPys0 ,,['https://buff.ly/2ITPys0'],[],0,1,10,,[],https://twitter.com/TDataScience/status/1121376057213489152,,,0
1121248464887844865,1121248464887844865,1556161440000,2019-04-24,22:04:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Advanced candlesticks for machine learning (i): tick bars https://buff.ly/2IST3Pr ,,['https://buff.ly/2IST3Pr'],[],0,4,15,,[],https://twitter.com/TDataScience/status/1121248464887844865,,,0
1121168206360715267,1121168206360715267,1556142305000,2019-04-24,16:45:05,CDT,788898706586275840,tdatascience,Towards Data Science,,Scientists rise up against statistical significance.  https://buff.ly/2FL843H  🖊by  @vamrhein @Lester_Domes Blake McShane @nature #rstats #DataScience #TDSPick 🚀 pic.twitter.com/DfNZFvwk5B,"['vamrhein', 'lester_domes', 'nature']",['https://buff.ly/2FL843H'],"['https://pbs.twimg.com/media/D48witXWAAANdHm.jpg', 'https://pbs.twimg.com/media/D48wirrWsAAtfI1.jpg', 'https://pbs.twimg.com/media/D48wisXW0AAsgpM.jpg']",0,6,11,,"['#rstats', '#datascience', '#tdspick']",https://twitter.com/TDataScience/status/1121168206360715267,,,0
1121074068248322048,1121074068248322048,1556119861000,2019-04-24,10:31:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Your Mobile Banking App has a Problem (and I’m not sure anyone knows about it) by @annebonnerdata https://buff.ly/2GDrbgu ,['annebonnerdata'],['https://buff.ly/2GDrbgu'],[],0,3,2,,[],https://twitter.com/TDataScience/status/1121074068248322048,,,0
1121074066381840385,1121074066381840385,1556119860000,2019-04-24,10:31:00,CDT,788898706586275840,tdatascience,Towards Data Science,,How to interpret a binary Logistic Regressor with scikit-learn https://buff.ly/2UqjldR ,,['https://buff.ly/2UqjldR'],[],0,3,10,,[],https://twitter.com/TDataScience/status/1121074066381840385,,,0
1121037643574386689,1121037643574386689,1556111176000,2019-04-24,08:06:16,CDT,788898706586275840,tdatascience,Towards Data Science,,Hacking Neural Networks by @mrdragonbear https://buff.ly/2GDdHBE ,['mrdragonbear'],['https://buff.ly/2GDdHBE'],[],0,0,10,,[],https://twitter.com/TDataScience/status/1121037643574386689,,,0
1121030278913363968,1121030278913363968,1556109420000,2019-04-24,07:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Fixing the machine behind the machines https://buff.ly/2GvT6z0 ,,['https://buff.ly/2GvT6z0'],[],0,0,2,,[],https://twitter.com/TDataScience/status/1121030278913363968,,,0
